Name,Place ID,Rating,Types,User Ratings Total,Vicinity
Le Thaï au Lac,ChIJTY_0wi4wjEcRpluLZDtl6pA,4.0,"restaurant, food, point_of_interest, establishment",1310,"Avenue Emile-Henri-Jaques-Dalcroze 9, Lausanne"
The Place 2B BIKINI BEACH,ChIJK2tz6C4wjEcR-pWACs2Y2ic,4.0,"restaurant, bar, food, night_club, point_of_interest, establishment",689,"Avenue Emile-Henri-Jaques-Dalcroze 9, Lausanne"
Jetée de la Compagnie,ChIJ9be9-9cvjEcRuYwRzTjTJww,4.4,"bar, restaurant, food, point_of_interest, establishment",1884,"Jetée de la compagnie, Lausanne"
Domino's Pizza,ChIJT-CCsdUxjEcRCssW6aqV1nA,3.1,"meal_delivery, restaurant, food, point_of_interest, establishment",482,"Avenue de Tivoli 70, Lausanne"
Le Montriond,ChIJb0GHqNMvjEcRE6vdLAhqaYA,4.3,"cafe, bar, restaurant, food, point_of_interest, establishment",366,"Avenue Édouard Dapples 25, Lausanne"
Pizomat,ChIJxePQGy4wjEcR5KIQQ5MAQ00,4.3,"meal_takeaway, restaurant, food, point_of_interest, establishment",26,"Allée du Bornan 8, Lausanne"
Le Carrousel de Vidy,ChIJvZKpHi4wjEcRA6qst_NXZOE,3.9,"restaurant, meal_takeaway, food, point_of_interest, establishment",1112,"Allée du Bornan 8, Lausanne"
Bornan,ChIJaQLUHy4wjEcRafVZoFwMZX0,4.3,"bar, restaurant, food, point_of_interest, establishment",225,"Allée du Bornan 6, Lausanne"
Le P'tit Vidy,ChIJ11Us6zIwjEcReggPKy_1IyY,4.3,"restaurant, food, point_of_interest, establishment",128,"Avenue de Montoie 53, Lausanne"
Shell,ChIJRSPY8ywujEcRfdrzPevgvak,3.9,"gas_station, car_wash, convenience_store, cafe, restaurant, food, point_of_interest, store, establishment",46,"Chemin de Mornex 36, Lausanne"
Swisshallal Food Sàrl,ChIJa3Bu2CwujEcRxq7cYCqEDsU,4.3,"meal_delivery, grocery_or_supermarket, restaurant, food, point_of_interest, store, establishment",378,"Avenue Louis-Ruchonnet 9, Lausanne"
Kebab Ouchy,ChIJuzlMg9AvjEcRlIBwWxqwxoc,3.9,"restaurant, food, point_of_interest, store, establishment",260,"Place de la Navigation, Lausanne"
Restaurant HOIAN BBQ,ChIJP8dnDNovjEcRvK2BHpvyjc0,3.9,"grocery_or_supermarket, meal_takeaway, restaurant, food, point_of_interest, store, establishment",782,"Chemin des Pêcheurs 7, Lausanne"
La Nautica Ouchy,ChIJlTleDtovjEcRt0rIzyu4mp0,3.9,"restaurant, bar, food, point_of_interest, establishment",394,"Chemin des Pêcheurs 7, Lausanne"
Brasserie Saint-Laurent,ChIJ5WHh8DEujEcRusnEd2ZB1RE,4.5,"restaurant, food, point_of_interest, establishment",343,"Rue Saint-Laurent 16, Lausanne"
Keyann Bistro Libanais,ChIJ5RIsFNAvjEcRRJ6356mWG_8,4.3,"restaurant, meal_takeaway, food, point_of_interest, establishment",400,"Avenue Frédéric-César-de-la-Harpe 43B, Lausanne"
SUSHIZEN Grancy Ramen Bar & Sushi,ChIJJZtemtIvjEcRxGOC--IkRIg,4.3,"restaurant, food, point_of_interest, establishment",525,"Boulevard de Grancy 20, Lausanne"
Subway,ChIJL_DCSM0vjEcRMqSsi1n79y8,3.7,"meal_takeaway, restaurant, food, point_of_interest, establishment",579,"Rue du Petit-Chêne 38, Lausanne"
McDonald’s,ChIJt8h4qTIujEcRSn_m9r9027w,3.5,"restaurant, cafe, food, point_of_interest, establishment",2565,"Place de la Gare 4, Lausanne"
Istanbul Kebab,ChIJFT4fWi0ujEcR7NzYQ5-mtiw,3.9,"restaurant, food, point_of_interest, establishment",168,"Rue du Petit-Chêne 36, Lausanne"
